"","pps","first.unsc.soc","first.unsc.nonsoc","first.scr.soc","first.scr.nonsoc","unsc.trials","scr.trials","unsc.soc.dur","unsc.nonsoc.dur","scr.soc.dur","scr.nonsoc.dur","unsc.prop","scr.prop","Gender"
"1","pp01",18,21,21,18,39,39,80476,82016,95408,74240,0.495261305171947,0.562388003395266,"m"
"2","pp02",24,15,18,22,39,40,80436,79864,82844,76160,0.501784154709919,0.521018339161279,"m"
"3","pp03",24,15,19,21,39,40,95248,74252,86620,89680,0.561935103244838,0.491321610890528,"f"
"4","pp04",19,20,20,20,39,40,95972,74332,82568,91792,0.563533446072905,0.473548979123652,"f"
"5","pp05",24,15,21,19,39,40,85452,83008,87236,76852,0.507253947524635,0.531641558188289,"f"
"6","pp06",22,17,19,21,39,40,84640,74476,103832,65808,0.5319389627693,0.612072624381042,"f"
"7","pp07",22,17,21,19,39,40,97952,75444,83200,81872,0.564903457980576,0.504022487157119,"f"
"8","pp08",23,16,20,20,39,40,90816,84924,88604,89936,0.516763400477979,0.496269743474852,"m"
"9","pp09",22,16,22,16,38,38,52264,90244,65608,44808,0.366744323125719,0.594189247935082,"f"
"10","pp10",21,18,20,20,39,40,107100,66944,92824,82292,0.615361632690584,0.530071495465863,"f"
"11","pp11",22,16,23,17,38,40,90416,79764,85364,91912,0.531296274532848,0.481531623005934,"f"
"12","pp12",23,16,19,21,39,40,82228,91172,95628,81368,0.474209919261822,0.540283396234943,"f"
"13","pp13",20,19,19,21,39,40,96788,83952,98084,81196,0.53550957176054,0.547099509147702,"m"
"14","pp14",22,17,22,18,39,40,91676,79804,74452,84600,0.534616281782132,0.468098483514825,"f"
"15","pp15",23,16,19,21,39,40,94392,77604,95940,80004,0.548803460545594,0.54528713681626,"f"
"16","pp16",26,13,18,22,39,40,109032,57592,84856,76548,0.654359516036105,0.525736660801467,"f"
"17","pp17",23,16,21,19,39,40,97288,75720,94808,78788,0.562332377693517,0.546141616166271,"m"
"18","pp18",25,14,20,20,39,40,111000,64084,94416,81392,0.633981403212172,0.53704040771751,"f"
"19","pp19",27,12,20,16,39,36,85040,68104,58676,46388,0.555294363474899,0.558478641589888,"f"
"20","pp20",23,16,20,19,39,39,65432,96328,67088,66304,0.404500494559842,0.502938706968934,"m"
"21","pp21",19,20,19,21,39,40,93968,86256,102080,81612,0.521395596590909,0.555712823639571,"m"
"22","pp23",24,15,22,18,39,40,106312,68616,80252,85580,0.60774718741425,0.483935549230547,"m"
"23","pp24",21,18,20,20,39,40,97264,77760,86088,81372,0.555718072949995,0.514080974561089,"f"
"24","pp25",24,15,22,18,39,40,92640,75604,101156,77524,0.550628848577067,0.566129393328856,"m"
"25","pp26",25,14,18,22,39,40,129388,43620,92864,79824,0.747872930731527,0.537755952932456,"f"
"26","pp27",19,20,24,16,39,40,97688,79576,98732,72480,0.551087643289106,0.576665187019601,"m"
"27","pp28",27,12,22,18,39,40,91368,76808,75508,83264,0.543287984016744,0.475575038419873,"f"
"28","pp29",35,4,22,14,39,36,105780,60956,69488,34044,0.63441608290951,0.671174129737666,"f"
"29","pp30",24,15,21,19,39,40,111152,62584,85616,72124,0.639775291246489,0.542766577913021,"f"
"30","pp31",27,12,19,21,39,40,84708,72864,85688,75420,0.537582819282614,0.531866822255878,"f"
"31","pp32",21,18,17,23,39,40,85024,71100,89376,85000,0.544592759601343,0.512547598293343,"f"
"32","pp33",25,14,17,23,39,40,121932,45708,75224,83312,0.727344309234073,0.474491598122824,"f"
"33","pp34",17,21,16,22,38,38,89036,74208,70884,87080,0.545416676876332,0.448735154845408,"f"
"34","pp35",20,19,15,24,39,39,107216,62648,79464,79160,0.631187302783403,0.500958240871495,"f"
