PP,trial code,side,up,image code,image1,image2,CURRENT_SAC_AMPLITUDE,CURRENT_SAC_ANGLE,CURRENT_SAC_START_TIME,CURRENT_SAC_START_X,CURRENT_SAC_START_Y,CURRENT_SAC_END_X,CURRENT_SAC_END_Y,subject code,trial number
pp01,48,1,1,2,SnewIAPS30scrambled.jpg,chocolate3borderscrambled.jpg,6.97,166.34,272,776,556.5,350.8,457.3,1,1
pp01,48,1,1,2,SnewIAPS30scrambled.jpg,chocolate3borderscrambled.jpg,2.33,-67.65,512,339,450.5,395.2,581.7,1,1
pp01,48,1,1,2,SnewIAPS30scrambled.jpg,chocolate3borderscrambled.jpg,0.17,178.33,720,389.9,601,379.2,600.7,1,1
pp01,74,2,2,2,wedding3scrambled.jpg,7260scrambled.jpg,6.82,-5.02,440,799.5,616.2,1222.6,652.3,1,2
pp01,14,2,1,1,Snews6.jpg,NSadj1ns1rj.jpg,7.47,-6.42,284,793.3,587.2,1255.9,637.7,1,3
pp01,44,1,1,2,5628scrambled.jpg,cake2scrambled.jpg,6.5,-175.22,288,785.1,565.3,377.8,598.1,1,4
pp01,54,2,1,2,Snews6scrambled.jpg,NSadj1ns1rjscrambled.jpg,6.66,-1.19,244,805.8,574.7,1219.8,583,1,5
pp01,54,2,1,2,Snews6scrambled.jpg,NSadj1ns1rjscrambled.jpg,0.19,-12.92,448,1209.4,579.2,1221.1,581.8,1,5
pp01,61,1,2,2,wedding2scrambled.jpg,cake8borderLumscrambled.jpg,6.97,-173.62,236,793.3,550.8,358,597.7,1,6
pp01,63,1,2,2,SnewIAPS29Lumscrambled.jpg,7502Lumscrambled.jpg,6.49,-176.73,268,811.5,568.6,405.2,591,1,7
pp01,2,1,1,1,2165.jpg,5982.jpg,6.28,-176.65,300,796.1,547.2,403,569.4,1,8
pp01,53,2,1,2,Snews7scrambled.jpg,ferrari2scrambled.jpg,6.55,-2.4,228,806.9,552.3,1213.3,568.8,1,9
pp01,53,2,1,2,Snews7scrambled.jpg,ferrari2scrambled.jpg,0.61,-23.78,432,1197.6,554.7,1232.3,569.5,1,9
pp01,24,1,2,1,SnewIAPS28.jpg,popcorn.jpg,6.77,-174.59,272,801.6,553.9,378.6,592.5,1,10
pp01,67,1,2,2,Snews27scrambled.jpg,7508scrambled.jpg,6.3,-174.66,264,783.3,538.6,390.1,574,1,11
pp01,67,1,2,2,Snews27scrambled.jpg,7508scrambled.jpg,6.56,-7.49,1024,375.2,541.6,783.4,593.3,1,11
