"","pps","EQ.Total","Gender","time.exclusion.70.lower","time.exclusion.500.higher","angle.unsc","angle.scr","lat.soc.unscr","lat.nonsoc.unscr","lat.soc.scr","lat.nonsoc.scr","unsc.trials","scr.trials"
"1","pp01",36,"m",1,0,2.21717948717949,1.748,217.833333333333,250.666666666667,233.333333333333,201.684210526316,39,40
"2","pp02",35,"m",0,0,0.414000000000001,-0.680500000000001,203.2,195.8,193.882352941176,211.304347826087,40,40
"3","pp03",61,"f",1,2,0.039210526315789,-0.296111111111111,211.809523809524,202.588235294118,245.882352941176,211.789473684211,38,36
"4","pp04",48,"f",1,0,0.413076923076924,-0.854864864864864,288,255.777777777778,267.058823529412,257.6,39,37
"5","pp06",31,"f",1,0,1.86631578947368,0.444054054054055,211.111111111111,204,225.555555555556,213.263157894737,38,37
"6","pp07",47,"f",0,1,-0.732162162162161,-0.0341025641025623,232.888888888889,224.842105263158,235.6,243.368421052632,37,39
"7","pp08",26,"m",1,0,0.772249999999999,1.17692307692308,234.095238095238,238.526315789474,232.190476190476,241.333333333333,40,39
"8","pp09",33,"f",0,0,2.5625,-0.214,237.692307692308,248.857142857143,268.941176470588,256.695652173913,40,40
"9","pp10",39,"f",0,3,0.605675675675677,-0.329473684210526,277.882352941176,269.8,251.6,245.111111111111,37,38
"10","pp11",52,"f",0,0,-0.258157894736841,0.181999999999998,232,219.333333333333,246.285714285714,236,38,40
"11","pp12",48,"f",0,2,3.615,-0.962368421052633,211.066666666667,232,218,221.5,40,38
"12","pp13",49,"m",0,1,0.668,-0.505128205128205,234.363636363636,238.222222222222,233.882352941176,236.909090909091,40,39
"13","pp15",46,"f",0,0,0.978205128205128,0.00349999999999982,243.666666666667,252.8,231.238095238095,226.947368421053,39,40
"14","pp16",61,"f",2,0,1.40871794871795,0.812162162162164,214.666666666667,235.111111111111,240.952380952381,203.5,39,37
"15","pp17",47,"m",0,0,1.38475,-0.142500000000001,220.48,210.933333333333,220.6,228.4,40,40
"16","pp18",47,"f",1,0,4.9574358974359,-0.112307692307692,228.32,229.714285714286,230.526315789474,226.2,39,39
"17","pp19",39,"f",2,1,-0.30741935483871,0.136571428571429,244.8,275.75,243.75,269.263157894737,31,35
"18","pp20",43,"m",1,1,1.23918918918919,1.35529411764706,282.166666666667,269.538461538462,273.555555555556,278,37,34
"19","pp21",46,"m",3,0,1.26888888888889,-0.303888888888887,232.705882352941,255.368421052632,248,252.235294117647,36,36
"20","pp23",57,"m",0,1,3.17897435897436,-0.514473684210526,227.68,219.714285714286,236,235.777777777778,39,38
"21","pp24",37,"f",4,0,1.44848484848485,-1.50702702702703,192.75,181.176470588235,202.588235294118,189.4,33,37
"22","pp26",62,"f",2,2,-0.300000000000002,-0.335945945945945,258.8,262.75,263.6,249.882352941176,36,37
"23","pp27",37,"m",0,0,0.573513513513513,-0.0515789473684208,215.619047619048,216.5,209.647058823529,210.285714285714,37,38
"24","pp29",57,"f",2,0,2.28810810810811,-0.231794871794873,254.56,274.333333333333,224.210526315789,247.2,37,39
"25","pp30",40,"f",2,0,3.41685714285714,1.23722222222222,206.8,212.533333333333,208.470588235294,216.421052631579,35,36
"26","pp31",43,"f",4,0,3.53444444444444,0.22,232.869565217391,227.692307692308,208,222.315789473684,36,32
"27","pp32",69,"f",0,2,3.17315789473684,0.0469230769230757,241.142857142857,227.2,226.2,240.421052631579,38,39
"28","pp33",65,"f",2,0,2.76054054054054,-0.249189189189191,225.692307692308,229.818181818182,229.555555555556,220.842105263158,37,37
"29","pp34",48,"f",0,2,0.419736842105261,-1.58487179487179,254.105263157895,293.052631578947,291.764705882353,262.545454545455,38,39
"30","pp35",69,"f",0,0,3.03575,-0.349999999999999,258.08,250.133333333333,283.058823529412,273.04347826087,40,40
"31","pp36",39,"f",0,0,0.0788571428571413,-1.42410256410257,225.111111111111,216.705882352941,227.142857142857,227.36,35,39
"32","pp37",46,"m",0,1,1.5755,-0.0866666666666661,249.5,254,249.4,241.263157894737,40,39
"33","pp38",62,"m",0,0,0.363823529411765,-0.801944444444445,212.421052631579,205.6,218.133333333333,208.571428571429,34,36
"34","pp39",43,"f",2,0,1.32588235294118,-1.49735294117647,242.95652173913,236.363636363636,207,228,34,34
"35","pp42",55,"f",0,1,1.23147058823529,0.228333333333333,247.578947368421,222.4,223.5,231.2,34,36
"36","pp43",42,"f",3,0,1.99714285714286,-0.389000000000003,234.6,272.8,263.157894736842,240.761904761905,35,40
