PP,Soc_NonSoc,StimImage,ValenceUserChoice
1,NonSocial,7430Lum.jpg,9
1,Social,smilee.jpg,6
1,NonSocial,popcorn.jpg,5
1,Social,2165.jpg,6
1,NonSocial,7270Lum.jpg,7
1,NonSocial,NSadj34rjborderLum.jpg,8
1,Social,Snewes10.jpg,6
1,Social,SnewIAPS29Lum.jpg,3
1,NonSocial,5001.jpg,6
1,Social,8496.jpg,6
1,Social,Snews5.jpg,5
1,NonSocial,7502Lum.jpg,6
1,NonSocial,cake3.jpg,7
1,NonSocial,NSnew7.jpg,5
1,NonSocial,NSnew14.jpg,3
1,Social,childreadingborder.jpg,6
1,NonSocial,NSadj1ns21rjLum.jpg,6
1,NonSocial,5779.jpg,5
1,NonSocial,8503.jpg,7
1,NonSocial,pizza.jpg,4
1,NonSocial,cake7border.jpg,7
1,NonSocial,choco9border.jpg,8
1,Social,wedding2.jpg,5
1,Social,Snews7.jpg,8
1,NonSocial,NSnew3Lum.jpg,7
1,NonSocial,pizza3.jpg,8
1,Social,wedding.jpg,5
1,Social,SnewIAPS14Lum.jpg,5
1,NonSocial,8531Lum.jpg,7
1,NonSocial,7350.jpg,8
1,Social,fam1reading.jpg,6
1,NonSocial,ferrari2.jpg,7
1,Social,Snewes7Lum.jpg,7
1,NonSocial,NSnew30.jpg,6
1,NonSocial,NSadj64rjborder.jpg,8
1,NonSocial,yatch.jpg,7
1,NonSocial,cake2.jpg,8
1,NonSocial,5982.jpg,6
1,NonSocial,7281.jpg,6
1,Social,SnewIAPS30.jpg,6
1,NonSocial,cake8borderLum.jpg,8
1,Social,SnewIAPS28.jpg,5
1,Social,Snewes8black.jpg,6
1,Social,Snews6.jpg,9
1,Social,family.jpg,6
1,Social,Snews24.jpg,6
1,NonSocial,NSadj1ns1rj.jpg,7
1,Social,Snews26.jpg,6
1,Social,family2.jpg,8
1,Social,Snewes42.jpg,7
1,Social,5628.jpg,6
1,NonSocial,7200.jpg,7
1,Social,SnewIAPS36.jpg,3
1,NonSocial,5480.jpg,9
1,NonSocial,7508.jpg,8
1,Social,SnewIAPS13.jpg,6
1,NonSocial,7260.jpg,8
1,Social,5830.jpg,6
1,Social,smile1.jpg,6
1,Social,famreadingborderLum.jpg,7
1,Social,SnewIAPS8.jpg,8
1,Social,SnewIAPS35.jpg,4
1,NonSocial,5760Lum.jpg,7
1,Social,Snewes38border.jpg,7
1,NonSocial,NSadj41rj.jpg,7
1,NonSocial,chips.jpg,5
1,NonSocial,7400.jpg,8
1,NonSocial,NSnew12.jpg,5
1,Social,SnewIAPS27.jpg,7
1,Social,smile6.jpg,7
1,NonSocial,ring2Lum.jpg,5
1,Social,SnewIAPS17.jpg,7
1,NonSocial,chocolate3border.jpg,8
1,Social,Snews25.jpg,7
1,Social,Snews27.jpg,7
1,NonSocial,NSadj36apaintrj.jpg,7
1,Social,Snews22.jpg,6
1,Social,Snews2Lum.jpg,6
1,Social,SnewIAPS31.jpg,4
1,Social,wedding3.jpg,6
2,NonSocial,5982.jpg,8
2,NonSocial,cake3.jpg,8
2,NonSocial,NSadj34rjborderLum.jpg,7
2,Social,SnewIAPS36.jpg,6
2,NonSocial,cake2.jpg,7
2,Social,wedding3.jpg,7
2,NonSocial,7270Lum.jpg,7
2,Social,Snews26.jpg,5
2,NonSocial,7260.jpg,6
2,Social,smile6.jpg,8
2,NonSocial,pizza3.jpg,5
2,Social,SnewIAPS35.jpg,7
2,NonSocial,popcorn.jpg,6
2,Social,Snews6.jpg,8
2,NonSocial,NSnew12.jpg,6
2,Social,wedding2.jpg,7
2,Social,family.jpg,6
2,NonSocial,5760Lum.jpg,6
2,Social,famreadingborderLum.jpg,6
2,NonSocial,7281.jpg,4
2,Social,Snews25.jpg,9
2,NonSocial,7502Lum.jpg,5
2,NonSocial,NSadj41rj.jpg,7
2,NonSocial,8503.jpg,6
2,NonSocial,7200.jpg,8
2,Social,SnewIAPS27.jpg,7
2,Social,Snews7.jpg,7
2,NonSocial,NSadj36apaintrj.jpg,8
2,NonSocial,NSadj1ns21rjLum.jpg,7
2,Social,Snewes8black.jpg,7
2,NonSocial,NSnew3Lum.jpg,7
2,NonSocial,7400.jpg,7
2,Social,Snews22.jpg,8
2,NonSocial,choco9border.jpg,7
