Valence,Arousal,RMS,LocalRMS,Salience,Soc_Pic,Soc_Pic_scrambled,FV_unscrambled,FV_Scrambled
0.9937888199,1.5279503106,0.9691463983,0.6839790555,0.926479702,5830.jpg,5830scrambled.jpg,5830.jpg,5830scrambled.jpg
1.0026281209,1.0088691796,1.2054499634,1.5885996325,1.0362319045,2165.jpg,2165scrambled.jpg,2165.jpg,2165scrambled.jpg
1.0066401062,1.0052083333,0.824839177,1.2483704263,1.0808360268,8496.jpg,8496scrambled.jpg,8496.jpg,8496scrambled.jpg
0.9908675799,0.9891304348,1.0635541098,1.6628502132,0.8324506521,5628.jpg,5628scrambled.jpg,5628.jpg,5628scrambled.jpg
1,0.9927536232,0.7909295344,1.3353537112,1.2245545332,SnewIAPS36.jpg,SnewIAPS36scrambled.jpg,SnewIAPS36.jpg,SnewIAPS36scrambled.jpg
1.013986014,0.887966805,1.0148660364,0.809545524,1.8952875623,SnewIAPS35.jpg,SnewIAPS35scrambled.jpg,SnewIAPS35.jpg,SnewIAPS35scrambled.jpg
1.0132802125,1.1076642336,1.1939643095,0.4849512848,1.4958974089,SnewIAPS31.jpg,SnewIAPS31scrambled.jpg,SnewIAPS31.jpg,SnewIAPS31scrambled.jpg
1.0111464968,1.0138613861,0.7957688409,1.1436875974,0.701241369,SnewIAPS30.jpg,SnewIAPS30scrambled.jpg,SnewIAPS30.jpg,SnewIAPS30scrambled.jpg
1.0102790015,0.865530303,0.9191896286,0.8190179782,0.9357424999,SnewIAPS27.jpg,SnewIAPS27scrambled.jpg,SnewIAPS27.jpg,SnewIAPS27scrambled.jpg
1.0014224751,1.0258780037,1.9461392936,0.5659661997,2.172997619,SnewIAPS14Lum.jpg,SnewIAPS14Lumscrambled.jpg,SnewIAPS14.jpg,SnewIAPS14scrambled.jpg
0.9955947137,0.9836956522,0.7135589936,1.0959340032,2.6067810587,SnewIAPS8.jpg,SnewIAPS8scrambled.jpg,SnewIAPS8.jpg,SnewIAPS8scrambled.jpg
1.0086805556,1.01,1.0072556565,2.6668040263,1.0089618132,Snews26.jpg,Snews26scrambled.jpg,Snews26.jpg,Snews26scrambled.jpg
1,1.0219435737,1.4708771269,1.218552732,0.8683426245,Snews7.jpg,Snews7scrambled.jpg,Snews7.jpg,Snews7scrambled.jpg
0.9852216749,0.9785867238,0.7919034265,0.8896323735,0.7843751126,Snews6.jpg,Snews6scrambled.jpg,Snews6.jpg,Snews6scrambled.jpg
